marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date	helpful_total_ratio	review_month
US	34678741	R9T1FE2ZX2X04	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	5	0	0	N	Y	works great	works great	2015-08-31	NaN	2015-08-01
US	11599505	RE36JAD5V53PO	B0009XH6V4	670161917	andis micro turbo hair dryer	Beauty	4	0	0	N	Y	i love travel blow dryers because they are easy to lift	this dries my hair faster that bigger more powerful models i love travel blow dryers because they are easy to lift and they usually come in 1600 w or less bigger dryers are heavy and blow my hair everywhere this has a surprising amount of power and is very compact i would give it a five except that the switch is not easy to turn on and off with one hand and its noisier than i anticipated	2015-08-31	NaN	2015-08-01
US	2282190	RIDHM8B7SCCV3	B0007NZPY6	16483457	conair pro hair dryer	Beauty	5	0	1	N	Y	five stars	love this dryer	2015-08-31	0	2015-08-01
US	43669858	R14QGWPCHU9LSE	B00BB8ZIW0	253917972	remington silk ceramic professional hair dryer	Beauty	5	0	0	N	Y	five stars	styling hair in style	2015-08-31	NaN	2015-08-01
US	51995766	R230LCPQDOFJJZ	B000065DJY	919751065	revlon 1875w volumizing hair dryer	Beauty	5	0	0	N	Y	five stars	excellent dryer	2015-08-31	NaN	2015-08-01
US	180659	RYOOYLVIAHU2A	B003FBG88E	195677102	conair pro styler ionic conditioning hair dryer	Beauty	3	1	1	N	Y	everything okay but	i found everything goes well except the plug why the left and right is opposite and i have to put the plug upside down for charging another flaw is the big noise	2015-08-31	1	2015-08-01
US	17563775	RD0BGSERMZ2JS	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	5	0	1	N	Y	nice hairdryer that works very well	i really like this hairdryer i havent had it very long but its working well for me	2015-08-31	0	2015-08-01
US	9924936	R3N0F2FKJOMGKK	B00CC7Y0G4	253762851	remington d3015 ionic ceramic dryer, ionic hair dryer, hair dryer	Beauty	5	3	3	N	Y	works great i use it 5 days a week	reckon i have had this about a year now at least 7 months works great i use it 5 days a week blows hot air doesnt overheat isnt to big came quick didnt cost much get you one you will like it	2015-08-30	1	2015-08-01
US	41150214	R2M6U66CT3H5OY	B00092M2X2	221722169	hot tools ionic anti-static professional dryer - model # 1035 - black/purple hair dryer for unisex	Beauty	3	0	0	N	Y	the styling tip does not stay on	the styling tip does not stay on keeps falling off in the middle of blow drying and then its too hot to put back	2015-08-30	NaN	2015-08-01
US	49876147	R2WDYCZI91LL6K	B00006IV22	357308868	conair 1875 watt dual voltage folding handle hair dryer	Beauty	4	0	0	N	Y	blows like a jet engine	nice hair dryer dual voltage comes in handy	2015-08-30	NaN	2015-08-01
US	47929663	R3IL7ENAGVGJ3I	B001BOFIRO	26711891	andis tourmaline ionic/ceramic 1875 watt hair dryer	Beauty	5	0	0	N	Y	a good replacement	like this as well as the one i had before	2015-08-30	NaN	2015-08-01
US	15822780	R1PEMP08D31OPZ	B00SKQFT4I	593915883	xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony)	Beauty	5	0	1	N	Y	girlfriend loves it	very quiet bought this to replace my girlfriends stupid loud blow dryer that woke me up every morning this thing is much easier on the ears	2015-08-30	0	2015-08-01
US	13564217	R35ZY5QEANBM8D	B0027SU9JU	918034537	revlon 1875w volumizing turbo hair dryer	Beauty	4	0	1	N	Y	nice light and powerful	this is a good dryer with nice attachmentsvery light and powerful the only drawback is the switches if your hand has any mousse or oil on them forget turning this on without a struggle the switches have no grip nor heavy grooves on them that make turning onoff easy but overall good	2015-08-30	0	2015-08-01
