Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed ,net new confirmed moving average,medical power
brasil,1/20/20,,,,,,,,,
brasil,1/21/20,,,,,,,,,
brasil,1/22/20,,,,,,,,,
brasil,1/23/20,,,,,,,,,
brasil,1/24/20,,,,,,,,,
brasil,1/25/20,,,,,,,,,
brasil,1/26/20,,,,,,,,,
brasil,1/27/20,,,,,,,,,
brasil,1/28/20,,,,,,,,,
brasil,1/29/20,,,,,,,,,
brasil,1/30/20,,,,,,,,,
brasil,1/31/20,,,,,,,,,
brasil,2/1/20,,,,,,,,,
brasil,2/2/20,,,,,,,,,
brasil,2/3/20,,,,,,,,,
brasil,2/4/20,,,,,,,,,
brasil,2/5/20,,,,,,,,,
brasil,2/6/20,,,,,,,,,
brasil,2/7/20,,,,,,,,,
brasil,2/8/20,,,,,,,,,
brasil,2/9/20,,,,,,,,,
brasil,2/10/20,,,,,,,,,
brasil,2/11/20,,,,,,,,,
brasil,2/12/20,,,,,,,,,
brasil,2/13/20,,,,,,,,,
brasil,2/14/20,,,,,,,,,
brasil,2/15/20,,,,,,,,,
brasil,2/16/20,,,,,,,,,
brasil,2/17/20,,,,,,,,,
brasil,2/18/20,,,,,,,,,
brasil,2/19/20,,,,,,,,,
brasil,2/20/20,,,,,,,,,
brasil,2/21/20,,,,,,,,,
brasil,2/22/20,,,,,,,,,
brasil,2/23/20,,,,,,,,,
brasil,2/24/20,,,,,,,,,
brasil,2/25/20,,,,,,,,,
brasil,2/26/20,1,0,0,1,0,0,1,,1
brasil,2/27/20,0,0,0,1,0,0,0,,1
brasil,2/28/20,0,0,0,1,0,0,0,,1
brasil,2/29/20,1,0,0,2,0,0,1,,1
brasil,3/1/20,0,0,0,2,0,0,0,0.4,1
brasil,3/2/20,0,0,0,2,0,0,0,0.2,1
brasil,3/3/20,0,0,0,2,0,0,0,0.2,1
brasil,3/4/20,1,0,0,3,0,0,1,0.4,1
brasil,3/5/20,4,0,0,7,0,0,4,1,1
brasil,3/6/20,6,0,0,13,0,0,6,2.2,1
brasil,3/7/20,6,0,0,19,0,0,6,3.4,1
brasil,3/8/20,6,0,0,25,0,0,6,4.6,1
brasil,3/9/20,0,0,0,25,0,0,0,4.4,1
brasil,3/10/20,9,0,0,34,0,0,9,5.4,1
brasil,3/11/20,18,0,0,52,0,0,18,7.8,1
brasil,3/12/20,25,0,0,77,0,0,25,11.6,1
brasil,3/13/20,21,0,0,98,0,0,21,14.6,1
brasil,3/14/20,23,0,1,121,0,0,22,19,0.090909091
brasil,3/15/20,79,0,0,200,0,0,79,33,1
brasil,3/16/20,34,0,1,234,0,0,33,36,0.090909091
brasil,3/17/20,57,1,0,291,1,0.003436426,57,42.4,11
brasil,3/18/20,137,3,0,428,4,0.009345794,137,65.6,31
brasil,3/19/20,193,2,0,621,6,0.009661836,193,99.8,21
brasil,3/20/20,283,5,0,904,11,0.012168142,283,140.6,51
brasil,3/21/20,224,7,0,1128,18,0.015957447,224,178.8,71
brasil,3/22/20,418,7,0,1546,25,0.016170763,418,251,71
brasil,3/23/20,345,9,0,1891,34,0.017979905,345,292.6,91
brasil,3/24/20,310,12,0,2201,46,0.020899591,310,316,121
brasil,3/25/20,232,11,0,2433,57,0.023427867,232,305.8,111
brasil,3/26/20,482,20,4,2915,77,0.026415094,478,356.6,4.902439024
brasil,3/27/20,502,15,0,3417,92,0.026924203,502,373.4,151
brasil,3/28/20,486,22,0,3903,114,0.029208301,486,401.6,221
brasil,3/29/20,353,22,0,4256,136,0.031954887,353,410.2,221
brasil,3/30/20,323,23,121,4579,159,0.034723739,202,404.2,0.190751445
brasil,3/31/20,"1,138",42,0,5717,201,0.0351583,1138,536.2,421
brasil,4/1/20,"1,117",40,0,6834,241,0.035264852,1117,659.2,401
brasil,4/2/20,"1,076",58,0,7910,299,0.037800253,1076,777.2,581
brasil,4/3/20,"1,146",60,0,9056,359,0.039642226,1146,935.8,601
brasil,4/4/20,"1,222",73,0,10278,432,0.042031524,1222,1139.8,731
brasil,4/5/20,852,54,0,11130,486,0.043665768,852,1082.6,541
brasil,4/6/20,926,67,0,12056,553,0.045869277,926,1044.4,671
brasil,4/7/20,"1,661",114,0,13717,667,0.048625793,1661,1161.4,1141
brasil,4/8/20,"2,210",133,0,15927,800,0.050229171,2210,1374.2,1331
brasil,4/9/20,"1,930",141,46,17857,941,0.052696422,1884,1506.6,3.060737527
brasil,4/10/20,"1,781",115,0,19638,1056,0.053773297,1781,1692.4,1151
brasil,4/11/20,"1,089",68,0,20727,1124,0.054228784,1089,1725,681
brasil,4/12/20,"1,442",99,0,22169,1223,0.055167125,1442,1681.2,991
brasil,4/13/20,"1,261",105,0,23430,1328,0.056679471,1261,1491.4,1051
brasil,4/14/20,"1,832",204,"13,853",25262,1532,0.060644446,-12021,-1289.6,0.014733164
brasil,4/15/20,"3,058",204,0,28320,1736,0.061299435,3058,-1034.2,2041
brasil,4/16/20,"2,105",188,0,30425,1924,0.063237469,2105,-831,1881
brasil,4/17/20,"3,257",217,0,33682,2141,0.063565109,3257,-468,2171
brasil,4/18/20,"2,917",206,0,36599,2347,0.064127435,2917,-136.8,2061
brasil,4/19/20,"2,055",115,"8,104",38654,2462,0.063693279,-6049,1057.6,0.014202688
brasil,4/20/20,"1,927",113,861,40581,2575,0.06345334,1066,659.2,0.13134363
brasil,4/21/20,"2,498",166,"1,334",43079,2741,0.063627289,1164,471,0.124503411
brasil,4/22/20,"2,678",165,993,45757,2906,0.063509408,1685,156.6,0.166247105
brasil,4/23/20,"3,735",407,"1,255",49492,3313,0.066940112,2480,69.2,0.324356625
brasil,4/24/20,"3,503",357,"1,082",52995,3670,0.069251816,2421,1763.2,0.330006469
brasil,4/25/20,"5,514",346,"1,505",58509,4016,0.068639013,4009,2351.8,0.229951498
brasil,4/26/20,"3,379",189,992,61888,4205,0.067945321,2387,2596.4,0.190605786
brasil,4/27/20,"4,613",338,990,66501,4543,0.068314762,3623,2984,0.341480659
brasil,4/28/20,"5,385",474,"1,402",71886,5017,0.069791058,3983,3284.6,0.338135654
brasil,4/29/20,"6,276",449,"1,588",78162,5466,0.06993168,4688,3738,0.282790756
brasil,4/30/20,"7,218",435,"1,803",85380,5901,0.069114547,5415,4019.2,0.241306639
brasil,5/1/20,"5,919",428,"2,104",91299,6329,0.069321679,3815,4304.8,0.203459912
brasil,5/2/20,"5,097",395,"2,898",96396,6724,0.069753932,2199,4020,0.136330699
brasil,5/3/20,"4,751",301,"2,054",101147,7025,0.06945337,2697,3762.8,0.146584879
brasil,5/4/20,"6,633",296,"2,195",107780,7321,0.067925404,4438,3712.8,0.134891349
brasil,5/5/20,"6,935",600,"3,035",114715,7921,0.069049383,3900,3409.8,0.197720009
brasil,5/6/20,"10,503",614,"3,149",125218,8535,0.068161127,7354,4117.6,0.195008098
brasil,5/7/20,"9,888",611,"3,980",135106,9146,0.067694995,5908,4859.4,0.153538856
brasil,5/8/20,"10,222",749,"3,947",145328,9895,0.068087361,6275,5575,0.189784905
brasil,5/9/20,"10,611",732,"2,388",155939,10627,0.068148443,8223,6332,0.306561702
brasil,5/10/20,"6,760",496,"3,272",162699,11123,0.068365509,3488,6249.6,0.151615171
brasil,5/11/20,"5,632",396,"2,427",168331,11519,0.068430652,3205,5419.8,0.163198879
brasil,5/12/20,"9,258",881,"5,213",177589,12400,0.069824145,4045,5047.2,0.169016516
brasil,5/13/20,"11,385",749,"5,827",188974,13149,0.069581001,5558,4903.8,0.128554513
brasil,5/14/20,"13,944",844,"1,055",202918,13993,0.06895889,12889,5837,0.800018956
brasil,5/15/20,"15,305",824,"5,491",218223,14817,0.067898434,9814,7102.2,0.150079219
brasil,5/16/20,"14,919",816,"4,702",233142,15633,0.067053555,10217,8504.6,0.173560749
brasil,5/17/20,"7,938",485,"4,450",241080,16118,0.066857475,3488,8393.2,0.109008786
brasil,5/18/20,"13,140",674,"6,337",254220,16792,0.066053025,6803,8642.2,0.106373578
brasil,5/19/20,"17,408","1,179","6,335",271628,17971,0.066160337,11073,8279,0.186121766
brasil,5/20/20,"19,951",888,"9,889",291579,18859,0.064678869,10062,8328.6,0.089805948
brasil,5/21/20,"18,508","1,188","9,277",310087,20047,0.064649598,9231,8131.4,0.128068039
brasil,5/22/20,"20,803",999,"9,470",330890,21046,0.063604219,11333,9700.4,0.10550047
brasil,5/23/20,"16,508",967,"7,157",347398,22013,0.063365362,9351,10210,0.135124562
brasil,5/24/20,"15,813",653,"7,324",363211,22666,0.062404498,8489,9693.2,0.089171366
brasil,5/25/20,"11,687",807,"3,922",374898,23473,0.062611697,7765,9233.8,0.205782616
brasil,5/26/20,"16,324","1,039","4,760",391222,24512,0.062654963,11564,9700.4,0.218293733
brasil,5/27/20,"20,599","1,086","8,054",411821,25598,0.062158074,12545,9942.8,0.134850573
brasil,5/28/20,"26,417","1,156","10,957",438238,26754,0.061049019,15460,11164.6,0.105511495
brasil,5/29/20,"26,928","1,124","11,872",465166,27878,0.059931293,15056,12478,0.094684176
brasil,5/30/20,"33,274",956,"11,416",498440,28834,0.057848487,21858,15296.6,0.083750142
brasil,5/31/20,"15,760",480,"5,663",514200,29314,0.057008946,10097,15003.2,0.084776889
brasil,6/1/20,"12,247",623,"4,525",526447,29937,0.056866123,7722,14038.6,0.137698614
brasil,6/2/20,"28,936","1,262","12,558",555383,31199,0.056175648,16378,14222.2,0.100500872
brasil,6/3/20,"28,633","1,349","14,979",584016,32548,0.05573135,13654,13941.8,0.090065491
brasil,6/4/20,"30,925","1,473","16,346",614941,34021,0.055324007,14579,12486,0.090119356
brasil,6/5/20,"30,830","1,005","11,977",645771,35026,0.054239041,18853,14237.2,0.083918478
brasil,6/6/20,"27,075",904,"10,209",672846,35930,0.053400035,16866,16066,0.088558247
brasil,6/7/20,"18,912",525,"6,803",691758,36455,0.052699065,12109,15212.2,0.077185401
brasil,6/8/20,"15,654",679,"6,088",707412,37134,0.052492748,9566,14394.6,0.111545474
brasil,6/9/20,"32,091","1,272","21,024",739503,38406,0.051934881,11067,13692.2,0.060506752
brasil,6/10/20,"32,913","1,274","14,331",772416,39680,0.051371282,18582,13638,0.08890455
brasil,6/11/20,"30,412","1,239","20,200",802828,40919,0.050968576,10212,12307.2,0.06134128
brasil,6/12/20,"25,982",909,"19,468",828810,41828,0.050467538,6514,11188.2,0.046696904
brasil,6/13/20,"21,704",892,"14,182",850514,42720,0.05022845,7522,10779.4,0.062903237
brasil,6/14/20,"17,110",612,"9,247",867624,43332,0.049943293,7863,10138.6,0.066193726
brasil,6/15/20,"20,647",627,"23,760",888271,43959,0.049488276,-3113,5799.6,0.026392987
brasil,6/16/20,"34,918","1,282","29,477",923189,45241,0.049005133,5441,4845.4,0.043494781
brasil,6/17/20,"32,188","1,269","21,745",955377,46510,0.048682353,10443,5631.2,0.058362574
brasil,6/18/20,"22,765","1,238","18,628",978142,47748,0.048814998,4137,4954.2,0.066464105
brasil,6/19/20,"54,771","1,206","25,098",1032913,48954,0.047394117,29673,9316.2,0.04805543
brasil,6/20/20,"34,666","1,022","13,534",1067579,49976,0.046812461,21132,14165.2,0.075520352
