Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average ,medical power 
canada,1/20/20,,,,,,,,,
canada,1/21/20,,,,,,,,,
canada,1/22/20,,,,,,,,,
canada,1/23/20,,,,,,,,,
canada,1/24/20,,,,,,,,,
canada,1/25/20,,,,,,,,,
canada,1/26/20,,,,,,,,,
canada,1/27/20,1,0,0,1,0,0,1,,1
canada,1/28/20,1,0,0,2,0,0,1,,1
canada,1/29/20,0,0,0,2,0,0,0,,1
canada,1/30/20,1,0,0,3,0,0,1,,1
canada,1/31/20,0,0,0,3,0,0,0,0.6,1
canada,2/1/20,0,0,0,3,0,0,0,0.4,1
canada,2/2/20,1,0,0,4,0,0,1,0.4,1
canada,2/3/20,0,0,0,4,0,0,0,0.4,1
canada,2/4/20,0,0,2,4,0,0,-2,-0.2,0.047619048
canada,2/5/20,1,0,0,5,0,0,1,0,1
canada,2/6/20,0,0,0,5,0,0,0,0,1
canada,2/7/20,0,0,0,5,0,0,0,-0.2,1
canada,2/8/20,0,0,0,5,0,0,0,-0.2,1
canada,2/9/20,2,0,0,7,0,0,2,0.6,1
canada,2/10/20,0,0,0,7,0,0,0,0.4,1
canada,2/11/20,0,0,0,7,0,0,0,0.4,1
canada,2/12/20,0,0,0,7,0,0,0,0.4,1
canada,2/13/20,0,0,0,7,0,0,0,0.4,1
canada,2/14/20,0,0,0,7,0,0,0,0,1
canada,2/15/20,0,0,0,7,0,0,0,0,1
canada,2/16/20,1,0,0,8,0,0,1,0.2,1
canada,2/17/20,0,0,0,8,0,0,0,0.2,1
canada,2/18/20,0,0,0,8,0,0,0,0.2,1
canada,2/19/20,0,0,0,8,0,0,0,0.2,1
canada,2/20/20,0,0,1,8,0,0,-1,0,0.090909091
canada,2/21/20,1,0,1,9,0,0,0,-0.2,0.090909091
canada,2/22/20,1,0,0,10,0,0,1,0,1
canada,2/23/20,0,0,0,10,0,0,0,0,1
canada,2/24/20,1,0,0,11,0,0,1,0.2,1
canada,2/25/20,0,0,0,11,0,0,0,0.4,1
canada,2/26/20,1,0,0,12,0,0,1,0.6,1
canada,2/27/20,2,0,0,14,0,0,2,0.8,1
canada,2/28/20,2,0,0,16,0,0,2,1.2,1
canada,2/29/20,4,0,0,20,0,0,4,1.8,1
canada,3/1/20,4,0,0,24,0,0,4,2.6,1
canada,3/2/20,3,0,0,27,0,0,3,3,1
canada,3/3/20,6,0,0,33,0,0,6,3.8,1
canada,3/4/20,1,0,0,34,0,0,1,3.6,1
canada,3/5/20,13,0,1,47,0,0,12,5.2,0.090909091
canada,3/6/20,7,0,0,54,0,0,7,5.8,1
canada,3/7/20,6,0,0,60,0,0,6,6.4,1
canada,3/8/20,6,1,0,66,1,0.015151515,6,6.4,11
canada,3/9/20,12,0,3,78,1,0.012820513,9,8,0.032258065
canada,3/10/20,17,0,0,95,1,0.010526316,17,9,1
canada,3/11/20,23,0,1,118,1,0.008474576,22,12,0.090909091
canada,3/12/20,40,0,2,158,1,0.006329114,38,18.4,0.047619048
canada,3/13/20,42,0,0,200,1,0.005,42,25.6,1
canada,3/14/20,53,0,0,253,1,0.003952569,53,34.4,1
canada,3/15/20,88,0,0,341,1,0.002932551,88,48.6,1
canada,3/16/20,100,3,0,441,4,0.009070295,100,64.2,31
canada,3/17/20,157,4,1,598,8,0.013377926,156,87.8,3.727272727
canada,3/18/20,129,1,0,727,9,0.012379642,129,105.2,11
canada,3/19/20,146,3,0,873,12,0.013745704,146,123.8,31
canada,3/20/20,214,0,2,1087,12,0.011039558,212,148.6,0.047619048
canada,3/21/20,244,8,0,1331,20,0.015026296,244,177.4,81
canada,3/22/20,141,1,0,1472,21,0.014266304,141,174.4,11
canada,3/23/20,619,3,96,2091,24,0.011477762,523,253.2,0.032258065
canada,3/24/20,701,2,2,2792,26,0.009312321,699,363.8,1
canada,3/25/20,617,10,73,3409,36,0.010560282,544,430.2,0.138166895
