Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average ,medical power 
china,1/20/20,77,0,0,0,77,0,77,,1
china,1/21/20,149,3,0,0,226,0.013274336,149,,31
china,1/22/20,131,8,0,0,357,0.030812325,131,,81
china,1/23/20,259,8,6,0,616,0.030844156,253,,1.327868852
china,1/24/20,444,16,3,0,1060,0.033018868,441,0.021589937,5.193548387
china,1/25/20,688,15,11,0,1748,0.028604119,677,0.027310761,1.36036036
china,1/26/20,769,24,2,0,2517,0.029400079,767,0.030535909,11.47619048
china,1/27/20,1771,26,9,0,4288,0.023320896,1762,0.029037624,2.868131868
china,1/28/20,1459,26,43,0,5747,0.021924482,1416,0.027253689,0.605568445
china,1/29/20,1736,38,21,0,7483,0.021916344,1715,0.025033184,1.805687204
china,1/30/20,1979,43,47,0,9462,0.021876982,1932,0.023687757,0.91507431
china,1/31/20,2101,46,72,0,11563,0.021880135,2029,0.022183768,0.639389736
china,2/1/20,2586,45,85,0,14149,0.021061559,2501,0.0217319,0.529964747
china,2/2/20,2827,57,147,0,16976,0.020911876,2680,0.021529379,0.388171312
china,2/3/20,3234,64,155,0,20210,0.020732311,3079,0.021292573,0.413281754
china,2/4/20,3887,65,262,0,24097,0.020085488,3625,0.020934274,0.248378481
china,2/5/20,3694,73,261,0,27791,0.02004246,3433,0.020566739,0.27996936
china,2/6/20,3129,73,387,0,30920,0.020375162,2742,0.020429459,0.188840093
china,2/7/20,3395,86,509,0,34315,0.020865511,2886,0.020420186,0.16912198
china,2/8/20,2567,89,600,0,36882,0.021826365,1967,0.020638997,0.148475254
china,2/9/20,3049,97,631,0,39931,0.022588966,2418,0.021139693,0.153858343
china,2/10/20,2478,108,716,0,42409,0.023815699,1762,0.021894341,0.15095657
china,2/11/20,2015,97,744,0,44424,0.024918963,1271,0.022803101,0.130493213
china,2/12/20,14109,146,902,0,58533,0.021406728,13207,0.022911344,0.161955437
china,2/13/20,5090,121,1081,0,63623,0.021595964,4009,0.022865264,0.11201554
china,2/14/20,2640,143,1373,0,66263,0.022893621,1267,0.022926195,0.104216736
china,2/15/20,2009,142,1323,0,68272,0.024299859,686,0.023023027,0.10739929
china,2/16/20,2050,105,1432,0,70322,0.025084611,618,0.023056157,0.07338873
china,2/17/20,1886,98,1701,0,72208,0.025786616,185,0.023932134,0.057668567
china,2/18/20,1749,136,1824,0,73957,0.027015698,-75,0.025016081,0.074612137
china,2/19/20,820,114,1779,0,74777,0.028243979,-959,0.026086153,0.064133551
china,2/20/20,889,118,2109,0,75666,0.029471625,-1220,0.027120506,0.055995448
china,2/21/20,397,109,2392,0,76063,0.030750825,-1995,0.028253749,0.045608461
china,2/22/20,453,97,2230,0,76516,0.031836479,-1777,0.029463721,0.043540648
china,2/23/20,409,150,1846,0,76925,0.03361716,-1437,0.030784014,0.081306538
china,2/24/20,508,71,2589,0,77433,0.034313536,-2081,0.031997925,0.02746128
china,2/25/20,406,52,2422,0,77839,0.034802605,-2016,0.033064121,0.02151026
china,2/26/20,433,29,2750,0,78272,0.034980581,-2317,0.033910072,0.010581433
china,2/27/20,327,44,3622,0,78599,0.035394852,-3295,0.034621747,0.012175257
china,2/28/20,427,47,2885,0,79026,0.035798345,-2458,0.035057984,0.016325257
china,2/29/20,573,35,2623,0,79599,0.035980352,-2050,0.035391347,0.013381114
china,3/1/20,202,42,2837,0,79801,0.036415584,-2635,0.035713943,0.014839096
china,3/2/20,125,31,2742,0,79926,0.036746491,-2617,0.036067125,0.011341672
china,3/3/20,119,38,2652,0,80045,0.037166594,-2533,0.036421473,0.014365974
china,3/4/20,139,31,2189,2,80184,0.037488776,-2050,0.036759559,0.014206752
china,3/5/20,143,30,1681,16,80327,0.037795511,-1538,0.037122591,0.017904943
china,3/6/20,99,28,1678,24,80426,0.038097133,-1579,0.037458901,0.016745128
china,3/7/20,44,27,1661,3,80470,0.03841183,-1617,0.037791969,0.01631449
china,3/8/20,40,22,1535,4,80510,0.038666004,-1495,0.038091851,0.014396456
china,3/9/20,19,17,1297,2,80529,0.038867985,-1278,0.038367693,0.013183255
china,3/10/20,24,22,1578,10,80553,0.039129517,-1554,0.038634494,0.014004182
china,3/11/20,15,11,1318,6,80568,0.039258763,-1303,0.03886682,0.008421212
china,3/12/20,8,7,1318,3,80576,0.039341739,-1310,0.039052802,0.005386541
china,3/13/20,11,13,1430,7,80587,0.039497686,-1419,0.039219138,0.009160199
china,3/14/20,20,10,1370,16,80607,0.039611944,-1350,0.03936793,0.007371725
china,3/15/20,16,14,838,12,80623,0.039777731,-822,0.039497573,0.016823768
china,3/16/20,21,13,930,20,80644,0.039928575,-909,0.039631535,0.014084507
china,3/17/20,13,11,922,12,80657,0.040058519,-909,0.039774891,0.01203774
china,3/18/20,34,8,819,34,80691,0.040140784,-785,0.039903511,0.009888902
china,3/19/20,39,3,730,39,80730,0.040158553,-691,0.040012832,0.004245994
china,3/20/20,41,7,590,41,80771,0.040224833,-549,0.040102253,0.012031859
china,3/21/20,46,6,504,45,80817,0.04027618,-458,0.040171774,0.012100774
china,3/22/20,39,9,459,39,80856,0.040368062,-420,0.040233682,0.01982139
china,3/23/20,78,7,456,74,80934,0.040415647,-378,0.040288655,0.015566762
china,3/24/20,47,4,491,47,80981,0.040441585,-444,0.040345261,0.008348605
china,3/25/20,67,6,401,67,81048,0.040482183,-334,0.040396731,0.015208178
china,3/26/20,55,5,537,54,81103,0.04051638,-482,0.040444771,0.009495438
china,3/27/20,54,3,383,54,81157,0.040526387,-329,0.040476436,0.008091882
