Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical power
france,2020-01-20,,,,,,,,,
france,2020-01-21,,,,,,,,,
france,2020-01-22,,,,,,,,,
france,2020-01-23,,,,,,,,,
france,2020-01-24,2,0,0,2,0,0,2,,1
france,2020-01-25,1,0,0,3,0,0,1,,1
france,2020-01-26,0,0,0,3,0,0,0,,1
france,2020-01-27,0,0,0,3,0,0,0,,1
france,2020-01-28,0,0,0,3,0,0,0,0.6,1
france,2020-01-29,1,0,0,4,0,0,1,0.4,1
france,2020-01-30,1,0,0,5,0,0,1,0.4,1
france,2020-01-31,1,0,0,6,0,0,1,0.6,1
france,2020-02-01,0,0,0,6,0,0,0,0.6,1
france,2020-02-02,0,0,0,6,0,0,0,0.6,1
france,2020-02-03,0,0,0,6,0,0,0,0.4,1
france,2020-02-04,0,0,0,6,0,0,0,0.2,1
france,2020-02-05,0,0,0,6,0,0,0,0,1
france,2020-02-06,0,0,0,6,0,0,0,0,1
france,2020-02-07,0,0,0,6,0,0,0,0,1
france,2020-02-08,5,0,0,11,0,0,5,1,1
france,2020-02-09,0,0,0,11,0,0,0,1,1
france,2020-02-10,0,0,0,11,0,0,0,1,1
france,2020-02-11,0,0,0,11,0,0,0,1,1
france,2020-02-12,0,0,0,11,0,0,0,1,1
france,2020-02-13,0,0,0,11,0,0,0,0,1
france,2020-02-14,0,1,0,11,1,0.090909091,0,0,11
france,2020-02-15,1,0,4,12,1,0.083333333,-3,-0.6,0.024390244
france,2020-02-16,0,0,0,12,1,0.083333333,0,-0.6,1
france,2020-02-17,0,0,0,12,1,0.083333333,0,-0.6,1
france,2020-02-18,0,0,3,12,1,0.083333333,-3,-1.2,0.032258065
france,2020-02-19,0,0,0,12,1,0.083333333,0,-1.2,1
france,2020-02-20,0,0,3,12,1,0.083333333,-3,-1.2,0.032258065
france,2020-02-21,0,0,0,12,1,0.083333333,0,-1.2,1
france,2020-02-22,0,0,0,12,1,0.083333333,0,-1.2,1
france,2020-02-23,0,0,0,12,1,0.083333333,0,-0.6,1
france,2020-02-24,0,0,1,12,1,0.083333333,-1,-0.8,0.090909091
france,2020-02-25,2,0,0,14,1,0.071428571,2,0.2,1
france,2020-02-26,4,1,0,18,2,0.111111111,4,1,11
france,2020-02-27,20,0,0,38,2,0.052631579,20,5,1
france,2020-02-28,19,0,1,57,2,0.035087719,18,8.6,0.090909091
france,2020-02-29,43,0,0,100,2,0.02,43,17.4,1
france,2020-03-01,30,0,0,130,2,0.015384615,30,23,1
france,2020-03-02,61,1,0,191,3,0.015706806,61,34.4,11
france,2020-03-03,21,1,0,212,4,0.018867925,21,34.6,11
france,2020-03-04,73,0,0,285,4,0.014035088,73,45.6,1
france,2020-03-05,138,2,0,423,6,0.014184397,138,64.6,21
france,2020-03-06,190,3,0,613,9,0.014681892,190,96.6,31
france,2020-03-07,336,7,0,949,16,0.016859852,336,151.6,71
france,2020-03-08,260,3,0,1209,19,0.015715467,260,199.4,31
france,2020-03-09,246,11,1,1455,30,0.020618557,245,233.8,10.09090909
france,2020-03-10,329,3,0,1784,33,0.018497758,329,272,31
france,2020-03-11,497,15,9,2281,48,0.021043402,488,331.6,1.659340659
france,2020-03-12,659,13,6,2940,61,0.020748299,653,395,2.147540984
france,2020-03-13,886,18,0,3826,79,0.020648197,886,520.2,181
france,2020-03-14,676,12,0,4502,91,0.020213239,676,606.4,121
france,2020-03-15,924,36,0,5426,127,0.023405824,924,725.4,361
france,2020-03-16,"1,210",21,0,6636,148,0.022302592,1210,869.8,211
france,2020-03-17,"1,097",27,574,7733,175,0.022630286,523,843.8,0.04720432
france,2020-03-18,"1,406",89,0,9139,264,0.028887187,1406,947.8,891
france,2020-03-19,"1,878",108,693,11017,372,0.033765998,1185,1049.6,0.15596595
