Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical power
germany,1/20/20,,,,,,,,,
germany,1/21/20,,,,,,,,,
germany,1/22/20,,,,,,,,,
germany,1/23/20,,,,,,,,,
germany,1/24/20,,,,,,,,,
germany,1/25/20,,,,,,,,,
germany,1/26/20,,,,,,,,,
germany,1/27/20,,,,,,,,,
germany,1/28/20,1,0,0,1,0,0,1,,1
germany,1/29/20,3,0,0,4,0,0,3,,1
germany,1/30/20,0,0,0,4,0,0,0,,1
germany,1/31/20,1,0,0,5,0,0,1,,1
germany,2/1/20,2,0,0,7,0,0,2,1.4,1
germany,2/2/20,1,0,0,8,0,0,1,1.4,1
germany,2/3/20,0,0,0,8,0,0,0,0.8,1
germany,2/4/20,4,0,0,12,0,0,4,1.6,1
germany,2/5/20,0,0,0,12,0,0,0,1.4,1
germany,2/6/20,0,0,0,12,0,0,0,1,1
germany,2/7/20,1,0,0,13,0,0,1,1,1
germany,2/8/20,0,0,0,13,0,0,0,1,1
germany,2/9/20,1,0,0,14,0,0,1,0.4,1
germany,2/10/20,0,0,0,14,0,0,0,0.4,1
germany,2/11/20,0,0,0,14,0,0,0,0.4,1
germany,2/12/20,2,0,0,16,0,0,2,0.6,1
germany,2/13/20,0,0,0,16,0,0,0,0.6,1
germany,2/14/20,0,0,1,16,0,0,-1,0.2,0.090909091
germany,2/15/20,0,0,0,16,0,0,0,0.2,1
germany,2/16/20,0,0,2,16,0,0,-2,-0.2,0.047619048
germany,2/17/20,0,0,4,16,0,0,-4,-1.4,0.024390244
germany,2/18/20,0,0,2,16,0,0,-2,-1.8,0.047619048
germany,2/19/20,0,0,4,16,0,0,-4,-2.4,0.024390244
germany,2/20/20,0,0,0,16,0,0,0,-2.4,1
germany,2/21/20,0,0,1,16,0,0,-1,-2.2,0.090909091
germany,2/22/20,0,0,0,16,0,0,0,-1.4,1
germany,2/23/20,0,0,0,16,0,0,0,-1,1
germany,2/24/20,0,0,0,16,0,0,0,-0.2,1
germany,2/25/20,2,0,1,18,0,0,1,0,0.090909091
germany,2/26/20,9,0,0,27,0,0,9,2,1
germany,2/27/20,21,0,1,48,0,0,20,6,0.090909091
germany,2/28/20,14,0,0,62,0,0,14,8.8,1
germany,2/29/20,53,0,0,115,0,0,53,19.4,1
germany,3/1/20,25,0,0,140,0,0,25,24.2,1
germany,3/2/20,41,0,0,181,0,0,41,30.6,1
germany,3/3/20,38,0,0,219,0,0,38,34.2,1
germany,3/4/20,125,0,0,344,0,0,125,56.4,1
germany,3/5/20,201,0,0,545,0,0,201,86,1
germany,3/6/20,143,0,2,688,0,0,141,109.2,0.047619048
germany,3/7/20,148,0,0,836,0,0,148,130.6,1
germany,3/8/20,204,0,0,1040,0,0,204,163.8,1
germany,3/9/20,184,2,0,1224,2,0.001633987,184,175.6,21
germany,3/10/20,341,0,0,1565,2,0.001277955,341,203.6,1
germany,3/11/20,401,1,7,1966,3,0.001525941,394,254.2,0.154929577
germany,3/12/20,779,3,0,2745,6,0.002185792,779,380.4,31
germany,3/13/20,930,2,21,3675,8,0.002176871,909,521.4,0.099526066
