Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical power
india,2020-01-20,,,,,,,,,
india,2020-01-21,,,,,,,,,
india,2020-01-22,,,,,,,,,
india,2020-01-23,,,,,,,,,
india,2020-01-24,,,,,,,,,
india,2020-01-25,,,,,,,,,
india,2020-01-26,,,,,,,,,
india,2020-01-27,,,,,,,,,
india,2020-01-28,,,,,,,,,
india,2020-01-29,,,,,,,,,
india,2020-01-30,1,0,0,1,0,0,1,,1
india,2020-01-31,0,0,0,1,0,0,0,,1
india,2020-02-01,0,0,0,1,0,0,0,,1
india,2020-02-02,1,0,0,2,0,0,1,,1
india,2020-02-03,1,0,0,3,0,0,1,0.6,1
india,2020-02-04,0,0,0,3,0,0,0,0.4,1
india,2020-02-05,0,0,0,3,0,0,0,0.4,1
india,2020-02-06,0,0,0,3,0,0,0,0.4,1
india,2020-02-07,0,0,0,3,0,0,0,0.2,1
india,2020-02-08,0,0,0,3,0,0,0,0,1
india,2020-02-09,0,0,0,3,0,0,0,0,1
india,2020-02-10,0,0,0,3,0,0,0,0,1
india,2020-02-11,0,0,0,3,0,0,0,0,1
india,2020-02-12,0,0,0,3,0,0,0,0,1
india,2020-02-13,0,0,0,3,0,0,0,0,1
india,2020-02-14,0,0,1,3,0,0,-1,-0.2,0.090909091
india,2020-02-15,0,0,2,3,0,0,-2,-0.6,0.047619048
india,2020-02-16,0,0,0,3,0,0,0,-0.6,1
india,2020-02-17,0,0,0,3,0,0,0,-0.6,1
india,2020-02-18,0,0,0,3,0,0,0,-0.6,1
india,2020-02-19,0,0,0,3,0,0,0,-0.4,1
india,2020-02-20,0,0,0,3,0,0,0,0,1
india,2020-02-21,0,0,0,3,0,0,0,0,1
india,2020-02-22,0,0,0,3,0,0,0,0,1
india,2020-02-23,0,0,0,3,0,0,0,0,1
india,2020-02-24,0,0,0,3,0,0,0,0,1
india,2020-02-25,0,0,0,3,0,0,0,0,1
india,2020-02-26,0,0,0,3,0,0,0,0,1
india,2020-02-27,0,0,0,3,0,0,0,0,1
india,2020-02-28,0,0,0,3,0,0,0,0,1
india,2020-02-29,0,0,0,3,0,0,0,0,1
india,2020-03-01,0,0,0,3,0,0,0,0,1
india,2020-03-02,2,0,0,5,0,0,2,0.4,1
india,2020-03-03,1,0,0,6,0,0,1,0.6,1
india,2020-03-04,23,0,0,29,0,0,23,5.2,1
india,2020-03-05,1,0,0,30,0,0,1,5.4,1
india,2020-03-06,1,0,0,31,0,0,1,5.6,1
india,2020-03-07,3,0,0,34,0,0,3,5.8,1
india,2020-03-08,5,0,0,39,0,0,5,6.6,1
india,2020-03-09,8,0,0,47,0,0,8,3.6,1
india,2020-03-10,14,0,1,61,0,0,13,6,0.090909091
