Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical power
italy,2020-01-20,,,,,,,,,
italy,2020-01-21,,,,,,,,,
italy,2020-01-22,,,,,,,,,
italy,2020-01-23,,,,,,,,,
italy,2020-01-24,,,,,,,,,
italy,2020-01-25,,,,,,,,,
italy,2020-01-26,,,,,,,,,
italy,2020-01-27,,,,,,,,,
italy,2020-01-28,,,,,,,,,
italy,2020-01-29,,,,,,,,,
italy,2020-01-30,,,,,,,,,
italy,2020-01-31,2,0,0,2,0,0,2,,1
italy,2020-02-01,0,0,0,2,0,0,0,,1
italy,2020-02-02,0,0,0,2,0,0,0,,1
italy,2020-02-03,0,0,0,2,0,0,0,,1
italy,2020-02-04,0,0,0,2,0,0,0,0.4,1
italy,2020-02-05,0,0,0,2,0,0,0,0,1
italy,2020-02-06,0,0,0,2,0,0,0,0,1
italy,2020-02-07,1,0,0,3,0,0,1,0.2,1
italy,2020-02-08,0,0,0,3,0,0,0,0.2,1
italy,2020-02-09,0,0,0,3,0,0,0,0.2,1
italy,2020-02-10,0,0,0,3,0,0,0,0.2,1
italy,2020-02-11,0,0,0,3,0,0,0,0.2,1
italy,2020-02-12,0,0,0,3,0,0,0,0,1
italy,2020-02-13,0,0,0,3,0,0,0,0,1
italy,2020-02-14,0,0,0,3,0,0,0,0,1
italy,2020-02-15,0,0,0,3,0,0,0,0,1
italy,2020-02-16,0,0,0,3,0,0,0,0,1
italy,2020-02-17,0,0,0,3,0,0,0,0,1
italy,2020-02-18,0,0,0,3,0,0,0,0,1
italy,2020-02-19,0,0,0,3,0,0,0,0,1
italy,2020-02-20,0,0,0,3,0,0,0,0,1
italy,2020-02-21,17,1,0,20,1,0.05,17,3.4,11
italy,2020-02-22,59,1,0,79,2,0.025316456,59,15.2,11
italy,2020-02-23,78,1,0,157,3,0.01910828,78,30.8,11
italy,2020-02-24,72,4,1,229,7,0.030567686,71,45,3.727272727
italy,2020-02-25,94,3,0,323,10,0.030959752,94,63.8,31
italy,2020-02-26,147,2,2,470,12,0.025531915,145,89.4,1
italy,2020-02-27,185,5,42,655,17,0.025954198,143,106.2,0.121140143
italy,2020-02-28,233,4,1,888,21,0.023648649,232,137,3.727272727
italy,2020-02-29,240,8,4,1128,29,0.02570922,236,170,1.975609756
italy,2020-03-01,585,5,33,1713,34,0.019848219,552,261.6,0.15407855
italy,2020-03-02,371,18,66,2084,52,0.024952015,305,293.6,0.273827534
italy,2020-03-03,462,27,11,2546,79,0.031029065,451,355.2,2.441441441
italy,2020-03-04,598,28,116,3144,107,0.034033079,482,405.2,0.24203273
italy,2020-03-05,783,41,138,3927,148,0.037687802,645,487,0.297610427
italy,2020-03-06,753,49,109,4680,197,0.042094017,644,505.4,0.45004583
italy,2020-03-07,"1,332",36,66,6012,233,0.038755822,1266,697.6,0.546142209
italy,2020-03-08,"1,412",133,33,7424,366,0.049299569,1379,883.2,4.021148036
italy,2020-03-09,"1,796",97,102,9220,463,0.05021692,1694,1125.6,0.951028404
italy,2020-03-10,"1,063",168,280,10283,631,0.061363415,783,1153.2,0.600142806
italy,2020-03-11,"2,315",196,41,12598,827,0.065645341,2274,1479.2,4.771289538
italy,2020-03-12,"2,787",189,213,15385,1016,0.066038349,2574,1740.8,0.887376818
italy,2020-03-13,"2,275",250,181,17660,1266,0.071687429,2094,1883.8,1.38100497
italy,2020-03-14,"3,610",175,527,21270,1441,0.067748002,3083,2161.6,0.332195029
italy,2020-03-15,"3,668",368,369,24938,1809,0.072539899,3299,2664.8,0.997290707
italy,2020-03-16,"3,042",349,414,27980,2158,0.077126519,2628,2735.6,0.843033084
italy,2020-03-17,"4,297",345,192,32277,2503,0.07754748,4105,3041.8,1.796460177
italy,2020-03-18,"4,178",475,"1,084",36455,2978,0.081689754,3094,3241.8,0.438243704
italy,2020-03-19,"4,580",427,415,41035,3405,0.082977946,4165,3458.2,1.028908697
italy,2020-03-20,"5,986",627,689,47021,4032,0.085748921,5297,3857.8,0.910027572
italy,2020-03-21,"6,557",793,943,53578,4825,0.09005562,5614,4455,0.840950058
italy,2020-03-22,"5,560",651,952,59138,5476,0.092596977,4608,4555.6,0.683856738
italy,2020-03-23,"4,789",601,408,63927,6077,0.095061555,4381,4813,1.472923303
italy,2020-03-24,"5,249",743,894,69176,6820,0.098589106,4355,4851,0.831115088
italy,2020-03-25,"5,210",683,"1,036",74386,7503,0.100865754,4174,4626.4,0.659299295
italy,2020-03-26,"6,203",662,999,80589,8165,0.101316557,5204,4544.4,0.662696427
italy,2020-03-27,"5,909",969,589,86498,9134,0.105597817,5320,4686.8,1.645051774
italy,2020-03-28,"5,974",889,"1,434",92472,10023,0.108389567,4540,4718.6,0.619970713
italy,2020-03-29,"5,217",756,646,97689,10779,0.110339956,4571,4761.8,1.170252283
italy,2020-03-30,"4,050",812,"1,590",101739,11591,0.113928779,2460,4419,0.510722596
italy,2020-03-31,"4,053",837,"1,109",105792,12428,0.117475802,2944,3967,0.754756109
italy,2020-04-01,"4,782",727,"1,118",110574,13155,0.118970101,3664,3635.8,0.650299615
italy,2020-04-02,"4,668",760,"1,431",115242,13915,0.120745909,3237,3375.2,0.5311299
italy,2020-04-03,"4,585",766,"1,480",119827,14681,0.122518297,3105,3082,0.517600162
italy,2020-04-04,"4,805",681,"1,238",124632,15362,0.123258874,3567,3303.4,0.550117115
italy,2020-04-05,"4,316",525,819,128948,15887,0.123204703,3497,3414,0.641069466
italy,2020-04-06,"3,599",636,"1,022",132547,16523,0.124657669,2577,3196.6,0.62234615
italy,2020-04-07,"3,039",604,"1,555",135586,17127,0.126318351,1484,2846,0.388463764
