Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical power
russia,2020-01-20,,,,,,,,,
russia,2020-01-21,,,,,,,,,
russia,2020-01-22,,,,,,,,,
russia,2020-01-23,,,,,,,,,
russia,2020-01-24,,,,,,,,,
russia,2020-01-25,,,,,,,,,
russia,2020-01-26,,,,,,,,,
russia,2020-01-27,,,,,,,,,
russia,2020-01-28,,,,,,,,,
russia,2020-01-29,,,,,,,,,
russia,2020-01-30,,,,,,,,,
russia,2020-01-31,,,,,,,,,
russia,2020-02-01,2,0,0,2,0,0,2,,1
russia,2020-02-02,0,0,0,2,0,0,0,,1
russia,2020-02-03,0,0,0,2,0,0,0,,1
russia,2020-02-04,0,0,0,2,0,0,0,,1
russia,2020-02-05,0,0,0,2,0,0,0,0.4,1
russia,2020-02-06,0,0,0,2,0,0,0,0,1
russia,2020-02-07,0,0,0,2,0,0,0,0,1
russia,2020-02-08,0,0,0,2,0,0,0,0,1
russia,2020-02-09,0,0,0,2,0,0,0,0,1
russia,2020-02-10,0,0,0,2,0,0,0,0,1
russia,2020-02-11,0,0,0,2,0,0,0,0,1
russia,2020-02-12,0,0,1,2,0,0,-1,-0.2,0.090909091
russia,2020-02-13,0,0,1,2,0,0,-1,-0.4,0.090909091
russia,2020-02-14,0,0,0,2,0,0,0,-0.4,1
russia,2020-02-15,0,0,0,2,0,0,0,-0.4,1
russia,2020-02-16,0,0,0,2,0,0,0,-0.4,1
russia,2020-02-17,0,0,0,2,0,0,0,-0.2,1
russia,2020-02-18,0,0,0,2,0,0,0,0,1
russia,2020-02-19,0,0,0,2,0,0,0,0,1
russia,2020-02-20,0,0,0,2,0,0,0,0,1
russia,2020-02-21,0,0,0,2,0,0,0,0,1
russia,2020-02-22,0,0,0,2,0,0,0,0,1
russia,2020-02-23,0,0,0,2,0,0,0,0,1
russia,2020-02-24,0,0,0,2,0,0,0,0,1
russia,2020-02-25,0,0,0,2,0,0,0,0,1
russia,2020-02-26,0,0,0,2,0,0,0,0,1
russia,2020-02-27,3,0,0,5,0,0,3,0.6,1
russia,2020-02-28,0,0,0,5,0,0,0,0.6,1
russia,2020-02-29,0,0,0,5,0,0,0,0.6,1
russia,2020-03-01,0,0,0,5,0,0,0,0.6,1
russia,2020-03-02,1,0,0,6,0,0,1,0.8,1
russia,2020-03-03,0,0,0,6,0,0,0,0.2,1
russia,2020-03-04,0,0,0,6,0,0,0,0.2,1
russia,2020-03-05,1,0,0,7,0,0,1,0.4,1
russia,2020-03-06,6,0,0,13,0,0,6,1.6,1
russia,2020-03-07,4,0,1,17,0,0,3,2,0.090909091
russia,2020-03-08,3,0,3,20,0,0,0,2,0.032258065
russia,2020-03-09,3,0,0,23,0,0,3,2.6,1
russia,2020-03-10,0,0,0,23,0,0,0,2.4,1
russia,2020-03-11,8,0,0,31,0,0,8,2.8,1
russia,2020-03-12,6,0,0,37,0,0,6,3.4,1
russia,2020-03-13,11,0,2,48,0,0,9,5.2,0.047619048
russia,2020-03-14,14,0,0,62,0,0,14,7.4,1
russia,2020-03-15,4,0,0,66,0,0,4,8.2,1
russia,2020-03-16,30,0,3,96,0,0,27,12,0.032258065
russia,2020-03-17,21,0,0,117,0,0,21,15,1
russia,2020-03-18,33,0,0,150,0,0,33,19.8,1
russia,2020-03-19,52,1,0,202,1,0.004950495,52,27.4,11
russia,2020-03-20,54,0,4,256,1,0.00390625,50,36.6,0.024390244
russia,2020-03-21,53,0,4,309,1,0.003236246,49,41,0.024390244
russia,2020-03-22,61,0,0,370,1,0.002702703,61,49,1
russia,2020-03-23,71,0,1,441,1,0.002267574,70,56.4,0.090909091
russia,2020-03-24,57,0,5,498,1,0.002008032,52,56.4,0.019607843
russia,2020-03-25,163,2,7,661,3,0.004538578,156,77.6,0.295774648
russia,2020-03-26,182,0,9,843,3,0.003558719,173,102.4,0.010989011
russia,2020-03-27,196,1,7,"1,039.00",4,0.003849856,189,128,0.154929577
russia,2020-03-28,228,0,4,"1,267.00",4,0.003157064,224,158.8,0.024390244
russia,2020-03-29,270,4,15,"1,537.00",8,0.005204945,255,199.4,0.271523179
russia,2020-03-30,302,1,2,"1,839.00",9,0.004893964,300,228.2,0.523809524
russia,2020-03-31,501,8,55,"2,340.00",17,0.007264957,446,282.8,0.147005445
russia,2020-04-01,440,7,69,"2,780.00",24,0.008633094,371,319.2,0.102749638
russia,2020-04-02,771,6,45,"3,551.00",30,0.008448324,726,419.6,0.135254989
russia,2020-04-03,601,4,46,"4,152.00",34,0.008188825,555,479.6,0.088937093
russia,2020-04-04,582,9,52,"4,734.00",43,0.009083228,530,525.6,0.174664107
russia,2020-04-05,658,2,22,"5,392.00",45,0.008345697,636,563.6,0.095022624
russia,2020-04-06,954,2,51,"6,346.00",47,0.00740624,903,670,0.04109589
russia,2020-04-07,"1,154.00",11,88,"7,500.00",58,0.007733333,1066,738,0.12599319
russia,2020-04-08,"1,175.00",5,86,"8,675.00",63,0.007262248,1089,844.8,0.059233449
russia,2020-04-09,"1,459.00",13,118,"10,134.00",76,0.007499507,1341,1007,0.110922947
russia,2020-04-10,"1,786.00",18,97,"11,920.00",94,0.007885906,1689,1217.6,0.186405767
russia,2020-04-11,"1,667.00",12,250,"13,587.00",106,0.007801575,1417,1320.4,0.048380648
russia,2020-04-12,"2,186.00",24,246,"15,773.00",130,0.008241932,1940,1495.2,0.097927672
russia,2020-04-13,"2,558.00",18,179,"18,331.00",148,0.008073755,2379,1753.2,0.10106086
russia,2020-04-14,"2,774.00",22,224,"21,105.00",170,0.008054963,2550,1995,0.098616689
russia,2020-04-15,"3,388.00",28,292,"24,493.00",198,0.008083942,3096,2276.4,0.096199932
russia,2020-04-16,"3,448.00",34,318,"27,941.00",232,0.00830321,3130,2619,0.107198994
russia,2020-04-17,"4,070.00",41,286,"32,011.00",273,0.008528318,3784,2987.8,0.143656064
russia,2020-04-18,"4,785.00",40,467,"36,796.00",313,0.008506359,4318,3375.6,0.085848855
russia,2020-04-19,"6,060.00",48,234,"42,856.00",361,0.008423558,5826,4030.8,0.205467749
russia,2020-04-20,"4,268.00",44,155,"47,124.00",405,0.008594347,4113,4234.2,0.284332689
russia,2020-04-21,"5,642.00",51,427,"52,766.00",456,0.008641929,5215,4651.2,0.119644111
russia,2020-04-22,"5,236.00",57,547,"58,002.00",513,0.008844523,4689,4832.2,0.104368488
russia,2020-04-23,"4,774.00",42,471,"62,776.00",555,0.008840958,4303,4829.2,0.089365315
russia,2020-04-24,"5,849.00",60,677,"68,625.00",615,0.008961749,5172,4698.4,0.088760892
russia,2020-04-25,"5,966.00",66,682,"74,591.00",681,0.009129788,5284,4932.6,0.096906612
russia,2020-04-26,"6,361.00",66,517,"80,952.00",747,0.00922769,5844,5058.4,0.127828273
russia,2020-04-27,"6,198.00",47,579,"87,150.00",794,0.009110729,5619,5244.4,0.081333103
russia,2020-04-28,"6,411.00",73,"1,110.00","93,561.00",867,0.009266682,5301,5444,0.065849923
russia,2020-04-29,"5,841.00",105,"1,830.00","99,402.00",972,0.009778475,4011,5211.8,0.057428556
russia,2020-04-30,"7,099.00",101,"1,333.00","106,501.00","1,073.00",0.010075023,5766,5308.2,0.075838272
russia,2020-05-01,"7,933.00",96,"1,601.00","114,434.00","1,169.00",0.010215495,6332,5405.8,0.060021235
russia,2020-05-02,"9,623.00",53,"1,793.00","124,057.00","1,222.00",0.009850311,7830,5848,0.029613518
russia,2020-05-03,"10,633.00",58,"1,626.00","134,690.00","1,280.00",0.009503304,9007,6589.2,0.03572966
russia,2020-05-04,"10,581.00",76,"1,456.00","145,271.00","1,356.00",0.009334279,9125,7612,0.052262894
russia,2020-05-05,"10,102.00",95,"1,770.00","155,373.00","1,451.00",0.009338817,8332,8125.2,0.053725778
russia,2020-05-06,"10,559.00",86,"1,462.00","165,932.00","1,537.00",0.009262831,9097,8678.2,0.058887901
russia,2020-05-07,"11,231.00",88,"2,476.00","177,163.00","1,625.00",0.009172344,8755,8863.2,0.035580146
russia,2020-05-08,"10,699.00",98,"2,805.00","187,862.00","1,723.00",0.009171626,7894,8640.6,0.034972015
russia,2020-05-09,"10,817.00",104,"5,308.00","198,679.00","1,827.00",0.009195738,5509,7917.4,0.019611537
russia,2020-05-10,"11,012.00",88,"2,390.00","209,691.00","1,915.00",0.009132485,8622,7975.4,0.036860382
russia,2020-05-11,"11,656.00",94,"5,495.00","221,347.00","2,009.00",0.009076247,6161,7388.2,0.017124347
russia,2020-05-12,"10,899.00",107,"3,711.00","232,246.00","2,116.00",0.009111029,7188,7074.8,0.028859368
russia,2020-05-13,"10,028.00",96,"4,491.00","242,274.00","2,212.00",0.009130158,5537,6603.4,0.021397876
russia,2020-05-14,"9,974.00",93,"5,527.00","252,248.00","2,305.00",0.009137833,4447,6391,0.016844276
russia,2020-05-15,"10,598.00",113,"4,696.00","262,846.00","2,418.00",0.009199303,5902,5847,0.024083814
russia,2020-05-16,"9,200.00",119,"4,940.00","272,046.00","2,537.00",0.009325629,4260,5466.8,0.024108824
russia,2020-05-17,"9,709.00",94,"4,207.00","281,755.00","2,631.00",0.0093379,5502,5129.6,0.022366951
russia,2020-05-18,"8,926.00",91,"2,836.00","290,681.00","2,722.00",0.009364217,6090,5240.2,0.032121575
russia,2020-05-19,"9,263.00",115,"5,921.00","299,944.00","2,837.00",0.009458432,3342,5019.2,0.019438956
russia,2020-05-20,"8,764.00",135,"9,262.00","308,708.00","2,972.00",0.009627221,-498,3739.2,0.014586325
russia,2020-05-21,"8,849.00",127,"7,289.00","317,557.00","3,099.00",0.009758878,1560,3199.2,0.017436995
russia,2020-05-22,"8,894.00",150,"7,144.00","326,451.00","3,249.00",0.009952489,1750,2448.8,0.021010344
russia,2020-05-23,"9,434.00",139,"8,111.00","335,885.00","3,388.00",0.010086786,1323,1495.4,0.017149339
russia,2020-05-24,"8,599.00",153,"5,363.00","344,484.00","3,541.00",0.010279142,3236,1474.2,0.028546922
russia,2020-05-25,"8,946.00",92,"5,499.00","353,430.00","3,633.00",0.010279263,3447,2263.2,0.016748195
russia,2020-05-26,"8,915.00",174,"12,331.00","362,345.00","3,807.00",0.010506561,-3416,1268,0.014118773
russia,2020-05-27,"8,338.00",161,"11,079.00","370,683.00","3,968.00",0.010704564,-2741,369.8,0.014540892
russia,2020-05-28,"8,371.00",174,"8,785.00","379,054.00","4,142.00",0.010927203,-414,22.4,0.019817646
russia,2020-05-29,"8,572.00",232,"8,264.00","387,626.00","4,374.00",0.011284073,308,-563.2,0.028085333
russia,2020-05-30,"8,952.00",181,"8,212.00","396,578.00","4,555.00",0.011485761,740,-1104.6,0.022052824
russia,2020-05-31,"9,268.00",138,"4,414.00","405,846.00","4,693.00",0.011563499,4854,549.4,0.031286106
russia,2020-06-01,"9,035.00",162,"3,994.00","414,881.00","4,855.00",0.011702151,5041,2105.8,0.040584863
russia,2020-06-02,"8,863.00",182,"11,108.00","423,744.00","5,037.00",0.011886894,-2245,1739.6,0.016393443
russia,2020-06-03,"8,536.00",178,"8,972.00","432,280.00","5,215.00",0.01206394,-436,1590.8,0.019850425
russia,2020-06-04,"8,831.00",169,"8,666.00","441,111.00","5,384.00",0.012205545,165,1475.8,0.019512814
russia,2020-06-05,"8,726.00",144,"8,057.00","449,837.00","5,528.00",0.012288896,669,638.8,0.017884847
russia,2020-06-06,"8,855.00",197,"8,708.00","458,692.00","5,725.00",0.012481142,147,-340,0.022634099
russia,2020-06-07,"8,984.00",134,"5,343.00","467,676.00","5,859.00",0.012527904,3641,837.2,0.02509779
russia,2020-06-08,"8,985.00",112,"3,957.00","476,661.00","5,971.00",0.012526722,5028,1930,0.028328827
russia,2020-06-09,"8,595.00",171,"11,709.00","485,256.00","6,142.00",0.012657237,-3114,1274.2,0.014612566
russia,2020-06-10,"8,404.00",216,"10,386.00","493,660.00","6,358.00",0.01287931,-1982,744,0.020806655
russia,2020-06-11,"8,779.00",174,"8,367.00","502,439.00","6,532.00",0.013000583,412,797,0.020807687
russia,2020-06-12,"8,987.00",183,"8,220.00","511,426.00","6,715.00",0.013129954,767,222.2,0.022274668
russia,2020-06-13,"8,706.00",114,"5,271.00","520,132.00","6,829.00",0.013129359,3435,-96.4,0.021646336
russia,2020-06-14,"8,835.00",119,"5,409.00","528,967.00","6,948.00",0.013135035,3426,1211.6,0.02201845
russia,2020-06-15,"8,246.00",143,"4,489.00","537,213.00","7,091.00",0.013199606,3757,2359.4,0.031877214
russia,2020-06-16,"8,248.00",193,"9,767.00","545,461.00","7,284.00",0.013353842,-1519,1973.2,0.019770454
russia,2020-06-17,"7,843.00",194,"10,036.00","553,304.00","7,478.00",0.013515174,-2193,1381.2,0.019340182
russia,2020-06-18,"7,790.00",182,"9,621.00","561,094.00","7,660.00",0.013651901,-1831,328,0.01892715
russia,2020-06-19,"7,972.00",181,"10,443.00","569,066.00","7,841.00",0.013778718,-2471,-851.4,0.017341594
russia,2020-06-20,"7,889.00",161,"10,186.00","576,955.00","8,002.00",0.013869366,-2297,-2062.2,0.01581567
russia,2020-06-21,"7,728.00",109,"5,119.00","584,683.00","8,111.00",0.013872474,2609,-1236.6,0.02131234
russia,2020-06-22,"7,600.00",95,"4,705.00","592,283.00","8,206.00",0.013854863,2895,-219,0.02021211
russia,2020-06-23,"7,425.00",153,"12,013.00","599,708.00","8,359.00",0.01393845,-4588,-770.4,0.012744421
russia,2020-06-24,"7,176.00",154,"12,393.00","606,884.00","8,513.00",0.014027392,-5217,-1319.6,0.012434338
russia,2020-06-25,"7,113.00",92,"6,342.00","613,997.00","8,605.00",0.014014726,771,-706,0.014522004
russia,2020-06-26,"6,800.00",176,"8,988.00","620,797.00","8,781.00",0.01414472,-2188,-1665.4,0.019592572
russia,2020-06-27,"6,852.00",188,"9,200.00","627,649.00","8,969.00",0.014289834,-2348,-2714,0.02044543
russia,2020-06-28,"6,791.00",104,"5,735.00","634,440.00","9,073.00",0.014300801,1056,-1585.2,0.018151384
russia,2020-06-29,"6,719.00",93,"4,343.00","641,159.00","9,166.00",0.014295986,2376,-66.6,0.021436301
russia,2020-06-30,"6,693.00",154,"9,220.00","647,852.00","9,320.00",0.014386002,-2527,-726.2,0.016713485
russia,2020-07-01,"6,556.00",216,"10,281.00","654,408.00","9,536.00",0.014571949,-3725,-1033.6,0.021019152
russia,2020-07-02,"6,760.00",147,"6,047.00","661,168.00","9,683.00",0.014645294,713,-421.4,0.02432571
