Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical power
thailand,1/20/20,2,0,0,2,0,0,2,,1
thailand,1/21/20,1,0,0,3,0,0,1,,1
thailand,1/22/20,0,0,0,3,0,0,0,,1
thailand,1/23/20,0,0,0,3,0,0,0,,1
thailand,1/24/20,1,0,0,4,0,0,1,0.8,1
thailand,1/25/20,0,0,0,4,0,0,0,0.4,1
thailand,1/26/20,3,0,0,7,0,0,3,0.8,1
thailand,1/27/20,1,0,0,8,0,0,1,1,1
thailand,1/28/20,6,0,0,14,0,0,6,2.2,1
thailand,1/29/20,0,0,0,14,0,0,0,2,1
thailand,1/30/20,0,0,0,14,0,0,0,2,1
thailand,1/31/20,0,0,0,14,0,0,0,1.4,1
thailand,2/1/20,5,0,0,19,0,0,5,2.2,1
thailand,2/2/20,0,0,0,19,0,0,0,1,1
thailand,2/3/20,0,0,0,19,0,0,0,1,1
thailand,2/4/20,6,0,8,25,0,0,-2,0.6,0.012345679
thailand,2/5/20,0,0,0,25,0,0,0,0.6,1
thailand,2/6/20,0,0,0,25,0,0,0,-0.4,1
thailand,2/7/20,0,0,1,25,0,0,-1,-0.6,0.090909091
thailand,2/8/20,7,0,0,32,0,0,7,0.8,1
thailand,2/9/20,0,0,1,32,0,0,-1,1,0.090909091
thailand,2/10/20,0,0,0,32,0,0,0,1,1
thailand,2/11/20,0,0,0,32,0,0,0,1,1
thailand,2/12/20,1,0,0,33,0,0,1,1.4,1
thailand,2/13/20,0,0,1,33,0,0,-1,-0.2,0.090909091
thailand,2/14/20,0,0,2,33,0,0,-2,-0.4,0.047619048
thailand,2/15/20,1,0,1,34,0,0,0,-0.4,0.090909091
thailand,2/16/20,0,0,1,34,0,0,-1,-0.6,0.090909091
thailand,2/17/20,1,0,0,35,0,0,1,-0.6,1
thailand,2/18/20,0,0,2,35,0,0,-2,-0.8,0.047619048
thailand,2/19/20,0,0,0,35,0,0,0,-0.4,1
thailand,2/20/20,0,0,0,35,0,0,0,-0.4,1
thailand,2/21/20,0,0,2,35,0,0,-2,-0.6,0.047619048
thailand,2/22/20,0,0,1,35,0,0,-1,-1,0.090909091
thailand,2/23/20,0,0,1,35,0,0,-1,-0.8,0.090909091
