Country,Date,Confirmed Cases,Deaths,Recovered,Cumulative confirmed cases,Cumulative deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical power
uk,2020-01-20,,,,,,,,,
uk,2020-01-21,,,,,,,,,
uk,2020-01-22,,,,,,,,,
uk,2020-01-23,,,,,,,,,
uk,2020-01-24,,,,,,,,,
uk,2020-01-25,,,,,,,,,
uk,2020-01-26,,,,,,,,,
uk,2020-01-27,,,,,,,,,
uk,2020-01-28,,,,,,,,,
uk,2020-01-29,,,,,,,,,
uk,2020-01-30,,,,,,,,,
uk,2020-01-31,2,0,0,2,0,0,2,,1
uk,2020-02-01,0,0,0,2,0,0,0,,1
uk,2020-02-02,0,0,0,2,0,0,0,,1
uk,2020-02-03,0,0,0,2,0,0,0,,1
uk,2020-02-04,0,0,0,2,0,0,0,0.4,1
uk,2020-02-05,0,0,0,2,0,0,0,0,1
uk,2020-02-06,0,0,0,2,0,0,0,0,1
uk,2020-02-07,1,0,0,3,0,0,1,0.2,1
uk,2020-02-08,0,0,0,3,0,0,0,0.2,1
uk,2020-02-09,0,0,0,3,0,0,0,0.2,1
uk,2020-02-10,1,0,0,4,0,0,1,0.4,1
uk,2020-02-11,4,0,0,8,0,0,4,1.2,1
uk,2020-02-12,0,0,0,8,0,0,0,1,1
uk,2020-02-13,1,0,1,9,0,0,0,1,0.090909091
uk,2020-02-14,0,0,0,9,0,0,0,1,1
uk,2020-02-15,0,0,7,9,0,0,-7,-0.6,0.014084507
uk,2020-02-16,0,0,0,9,0,0,0,-1.4,1
uk,2020-02-17,0,0,0,9,0,0,0,-1.4,1
uk,2020-02-18,0,0,0,9,0,0,0,-1.4,1
uk,2020-02-19,0,0,0,9,0,0,0,-1.4,1
uk,2020-02-20,0,0,0,9,0,0,0,0,1
uk,2020-02-21,0,0,0,9,0,0,0,0,1
uk,2020-02-22,0,0,0,9,0,0,0,0,1
uk,2020-02-23,4,0,0,13,0,0,4,0.8,1
uk,2020-02-24,0,0,0,13,0,0,0,0.8,1
uk,2020-02-25,0,0,0,13,0,0,0,0.8,1
uk,2020-02-26,0,0,0,13,0,0,0,0.8,1
uk,2020-02-27,3,0,0,16,0,0,3,1.4,1
uk,2020-02-28,4,0,0,20,0,0,4,1.4,1
uk,2020-02-29,3,0,0,23,0,0,3,2,1
uk,2020-03-01,13,0,0,36,0,0,13,4.6,1
uk,2020-03-02,4,0,0,40,0,0,4,5.4,1
uk,2020-03-03,11,0,0,51,0,0,11,7,1
uk,2020-03-04,36,0,0,87,0,0,36,13.4,1
uk,2020-03-05,29,1,10,116,1,0.00862069,19,16.6,0.108910891
uk,2020-03-06,49,1,0,165,2,0.012121212,49,23.8,11
uk,2020-03-07,45,0,0,210,2,0.00952381,45,32,1
uk,2020-03-08,69,1,0,279,3,0.010752688,69,43.6,11
uk,2020-03-09,44,2,0,323,5,0.015479876,44,45.2,21
uk,2020-03-10,62,1,0,385,6,0.015584416,62,53.8,11
uk,2020-03-11,79,2,1,464,8,0.017241379,78,59.6,1.909090909
uk,2020-03-12,136,2,0,600,10,0.016666667,136,77.8,21
uk,2020-03-13,203,1,0,803,11,0.01369863,203,104.6,11
uk,2020-03-14,342,10,0,1145,21,0.018340611,342,164.2,101
uk,2020-03-15,251,14,2,1396,35,0.025071633,249,201.6,6.714285714
uk,2020-03-16,157,21,32,1553,56,0.03605924,125,211,0.657320872
uk,2020-03-17,407,16,14,1960,72,0.036734694,393,262.4,1.141843972
uk,2020-03-18,685,34,0,2645,106,0.040075614,685,358.8,341
uk,2020-03-19,652,39,0,3297,145,0.043979375,652,420.8,391
uk,2020-03-20,718,33,0,4015,178,0.044333748,718,514.6,331
uk,2020-03-21,"1,053",56,28,5068,234,0.04617206,1025,694.6,1.996441281
uk,2020-03-22,677,48,0,5745,282,0.049086162,677,751.4,481
uk,2020-03-23,981,54,45,6726,336,0.049955397,936,801.6,1.199556541
uk,2020-03-24,"1,438",87,0,8164,423,0.051812837,1438,958.8,871
uk,2020-03-25,"1,479",44,2,9643,467,0.048428912,1477,1110.6,21
uk,2020-03-26,"2,175",113,8,11818,580,0.049077678,2167,1339,13.96296296
uk,2020-03-27,"2,969",181,1,14787,761,0.051464124,2968,1797.2,164.6363636
uk,2020-03-28,"2,528",260,0,17315,1021,0.058966214,2528,2115.6,2601
uk,2020-03-29,"2,469",210,0,19784,1231,0.062221998,2469,2321.8,2101
uk,2020-03-30,"2,670",186,20,22454,1417,0.063106796,2650,2556.4,9.258706468
uk,2020-03-31,"3,027",394,8,25481,1811,0.071072564,3019,2726.8,48.65432099
uk,2020-04-01,"4,384",546,0,29865,2357,0.078921815,4384,3010,5461
uk,2020-04-02,"4,308",569,13,34173,2926,0.085623153,4295,3363.4,43.44274809
uk,2020-04-03,"4,518",685,17,38691,3611,0.093329198,4501,3769.8,40.06432749
uk,2020-04-04,"3,788",709,8,42479,4320,0.101697309,3780,3995.8,87.54320988
uk,2020-04-05,"5,961",623,12,48440,4943,0.102043765,5949,4581.8,51.49586777
uk,2020-04-06,"3,850",442,59,52290,5385,0.102983362,3791,4463.2,7.480541455
uk,2020-04-07,"3,660",786,37,55950,6171,0.110294906,3623,4328.8,21.18867925
uk,2020-04-08,"5,524",940,20,61474,7111,0.115674919,5504,4529.4,46.77114428
uk,2020-04-09,"4,411",882,14,65885,7993,0.121317447,4397,4652.8,62.56028369
uk,2020-04-10,"8,720",981,229,74605,8974,0.120286844,8491,5161.2,4.282409428
uk,2020-04-11,"5,280",918,37,79885,9892,0.123828003,5243,5451.6,24.74663073
uk,2020-04-12,"5,323",746,0,85208,10638,0.124847432,5323,5791.6,7461
uk,2020-04-13,"4,363",709,0,89571,11347,0.126681627,4363,5563.4,7091
uk,2020-04-14,"5,274",782,0,94845,12129,0.127882334,5274,5738.8,7821
uk,2020-04-15,"4,644",765,0,99489,12894,0.129602268,4644,4969.4,7651
uk,2020-04-16,"4,659",865,0,104148,13759,0.132110074,4659,4852.6,8651
uk,2020-04-17,"5,621",848,0,109769,14607,0.133070357,5621,4912.2,8481
uk,2020-04-18,"5,545",891,0,115314,15498,0.134398252,5545,5148.6,8911
uk,2020-04-19,"5,859",597,0,121173,16095,0.13282662,5859,5265.6,5971
uk,2020-04-20,"4,683",455,0,125856,16550,0.131499491,4683,5273.4,4551
uk,2020-04-21,"4,328",828,15,130184,17378,0.133487986,4313,5204.2,54.8410596
uk,2020-04-22,"4,454",773,43,134638,18151,0.134813351,4411,4962.2,17.93735499
uk,2020-04-23,"4,608",640,34,139246,18791,0.134948221,4574,4768,18.771261
uk,2020-04-24,"5,394",776,32,144640,19567,0.135280697,5362,4668.6,24.17757009
uk,2020-04-25,"4,929",814,25,149569,20381,0.136264868,4904,4712.8,32.43426295
uk,2020-04-26,"4,471",414,13,154040,20795,0.134997403,4458,4741.8,31.61068702
uk,2020-04-27,"4,313",362,31,158353,21157,0.133606563,4282,4716,11.64308682
uk,2020-04-28,"3,998",588,19,162351,21745,0.133938196,3979,4597,30.79057592
uk,2020-04-29,"4,090","4,421",20,166441,26166,0.157208861,4070,4338.6,219.9552239
uk,2020-04-30,"6,040",676,15,172481,26842,0.155622938,6025,4562.8,44.77483444
uk,2020-05-01,"6,204",741,20,178685,27583,0.154366623,6184,4908,36.87064677
uk,2020-05-02,"4,815",621,1,183500,28204,0.153700272,4814,5014.4,564.6363636
uk,2020-05-03,"4,342",316,8,187842,28520,0.151829729,4334,5085.4,39.02469136
uk,2020-05-04,"3,990",289,9,191832,28809,0.150178281,3981,5067.6,31.76923077
uk,2020-05-05,"4,411",692,19,196243,29501,0.150328929,4392,4741,36.23560209
uk,2020-05-06,"6,116",649,5,202359,30150,0.148992632,6111,4726.4,127.2745098
uk,2020-05-07,"5,618",539,36,207977,30689,0.147559586,5582,4880,14.93351801
uk,2020-05-08,"4,652",626,24,212629,31315,0.147275301,4628,4938.8,25.97925311
uk,2020-05-09,"3,897",347,7,216526,31662,0.146227243,3890,4920.6,48.88732394
uk,2020-05-10,"3,924",268,1,220450,31930,0.1448401,3923,4826.8,243.7272727
uk,2020-05-11,"3,882",211,13,224332,32141,0.143274254,3869,4378.4,16.11450382
uk,2020-05-12,"3,409",628,8,227741,32769,0.143887135,3401,3942.2,77.54320988
uk,2020-05-13,"3,245",495,9,230986,33264,0.144008728,3236,3663.8,54.40659341
uk,2020-05-14,"3,455",429,13,234441,33693,0.143716329,3442,3574.2,32.75572519
uk,2020-05-15,"3,563",385,2,238004,34078,0.143182468,3561,3501.8,183.3809524
uk,2020-05-16,"3,457",468,11,241461,34546,0.143070724,3446,3417.2,42.17117117
uk,2020-05-17,"3,534",170,0,244995,34716,0.141700851,3534,3443.8,1701
uk,2020-05-18,"2,714",160,32,247709,34876,0.140794238,2682,3333,4.987538941
uk,2020-05-19,-562,546,9,247147,35422,0.143323609,-571,2530.4,60.01098901
