Date,Confirmed_Cases,Deaths,Recovered,Cumulative_confirmed_cases,Cumulative_deaths,case-fatality ratio,net new confirmed,net new confirmed moving average,medical_power
1/21/20,1,0,0,1,0,0,1,,1
1/22/20,0,0,0,1,0,0,0,,1
1/23/20,0,0,0,1,0,0,0,,1
1/24/20,1,0,0,2,0,0,1,,1
1/25/20,0,0,0,2,0,0,0,0.4,1
1/26/20,1,0,0,3,0,0,1,0.4,1
1/27/20,2,0,0,5,0,0,2,0.8,1
1/28/20,0,0,0,5,0,0,0,0.8,1
1/29/20,0,0,0,5,0,0,0,0.6,1
1/30/20,0,0,0,5,0,0,0,0.6,1
1/31/20,1,0,0,6,0,0,1,0.6,1
2/1/20,1,0,0,7,0,0,1,0.4,1
2/2/20,1,0,0,8,0,0,1,0.6,1
2/3/20,3,0,0,11,0,0,3,1.2,1
2/4/20,0,0,0,11,0,0,0,1.2,1
2/5/20,0,0,0,11,0,0,0,1,1
2/6/20,1,0,0,12,0,0,1,1,1
2/7/20,0,0,0,12,0,0,0,0.8,1
2/8/20,0,0,0,12,0,0,0,0.2,1
2/9/20,0,0,0,12,0,0,0,0.2,1
2/10/20,0,0,0,12,0,0,0,0.2,1
2/11/20,1,0,0,13,0,0,1,0.2,1
2/12/20,0,0,0,13,0,0,0,0.2,1
2/13/20,1,0,3,14,0,0,-2,-0.2,0.032258065
2/14/20,1,0,0,15,0,0,1,0,1
2/15/20,0,0,0,15,0,0,0,0,1
2/16/20,0,0,0,15,0,0,0,-0.2,1
2/17/20,0,0,0,15,0,0,0,-0.2,1
2/18/20,0,0,0,15,0,0,0,0.2,1
2/19/20,0,0,0,15,0,0,0,0,1
2/20/20,0,0,0,15,0,0,0,0,1
2/21/20,20,0,0,35,0,0,20,4,1
2/22/20,0,0,0,35,0,0,0,4,1
2/23/20,0,0,0,35,0,0,0,4,1
2/24/20,18,0,0,53,0,0,18,7.6,1
2/25/20,4,0,0,57,0,0,4,8.4,1
2/26/20,3,0,0,60,0,0,3,5,1
2/27/20,1,0,0,61,0,0,1,5.2,1
2/28/20,6,0,4,67,0,0,2,5.6,0.024390244
2/29/20,5,1,0,72,1,0.013888889,5,3,11
3/1/20,20,1,2,92,2,0.02173913,18,5.8,0.523809524
3/2/20,18,4,0,110,6,0.054545455,18,8.8,41
3/3/20,23,3,0,133,9,0.067669173,23,13.2,31
3/4/20,32,2,0,165,11,0.066666667,32,19.2,21
3/5/20,74,3,0,239,14,0.058577406,74,33,31
3/6/20,111,3,6,350,17,0.048571429,105,50.4,0.508196721
3/7/20,109,2,0,459,19,0.041394336,109,68.6,21
3/8/20,113,3,0,572,22,0.038461538,113,86.6,31
3/9/20,183,5,0,755,27,0.035761589,183,116.8,51
3/10/20,299,4,0,1054,31,0.029411765,299,161.8,41
3/11/20,275,7,0,1329,38,0.028592927,275,195.8,71
3/12/20,428,3,16,1757,41,0.023335231,412,256.4,0.192546584
