"","x"
"1",386.02
"2",387.42
"3",388.71
"4",390.2
"5",391.17
"6",392.46
"7",393
"8",392.15
"9",390.2
"10",388.35
"11",386.85
"12",387.24
"13",388.67
"14",389.79
"15",391.33
"16",391.86
"17",392.6
"18",393.25
"19",394.19
"20",393.74
"21",392.51
"22",390.13
"23",389.08
"24",389
"25",390.28
"26",391.86
"27",393.12
"28",393.86
"29",394.4
"30",396.18
"31",396.74
"32",395.71
"33",394.36
"34",392.39
"35",391.11
"36",391.05
"37",392.98
"38",394.34
"39",395.55
"40",396.8
"41",397.43
"42",398.41
"43",399.78
"44",398.6
"45",397.32
"46",395.2
"47",393.45
"48",393.7
"49",395.16
"50",396.84
"51",397.85
"52",398.01
"53",399.77
"54",401.38
"55",401.78
"56",401.25
"57",399.1
"58",397.03
"59",395.38
"60",396.03
"61",397.28
"62",398.91
"63",399.98
"64",400.28
"65",401.54
"66",403.28
"67",403.96
"68",402.8
"69",401.31
"70",398.93
"71",397.63
"72",398.29
"73",400.16
"74",401.85
"75",402.56
"76",404.12
"77",404.87
"78",407.45
"79",407.72
"80",406.83
"81",404.41
"82",402.27
"83",401.05
"84",401.59
"85",403.55
"86",404.45
"87",406.17
"88",406.46
"89",407.22
"90",409.04
"91",409.69
"92",408.88
"93",407.12
"94",405.13
"95",403.37
"96",403.63
